name,prompt,negative_prompt
Microscopic Organism Macro Photography,"Microscopic Organism Macro Photography, capturing {prompt} with extreme close-ups of microscopic organisms, showcasing details like cells, algae, and tiny life forms","lack of microscopic organism elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Metal Macro Photography,"Abstract Metal Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of metal surfaces, capturing abstract patterns and textures","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Smoke Macro Photography,"Smoke Macro Photography, capturing {prompt} with extreme close-ups of smoke patterns, emphasizing abstract shapes and textures created by smoke","lack of smoke elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Crystal Macro Photography,"Crystal Macro Photography, showcasing {prompt} with extreme close-ups of crystals, capturing details like facets, colors, and light refraction","lack of crystal elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Feather Macro Photography,"Abstract Feather Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of abstract feather details, capturing textures and patterns","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Abstract Fire Macro Photography,"Abstract Fire Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of flames, capturing abstract shapes and colors created by fire","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Sand Dollar Macro Photography,"Sand Dollar Macro Photography, showcasing {prompt} with extreme close-ups of sand dollars, capturing intricate details like textures and patterns","lack of sand dollar elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Fur Macro Photography,"Fur Macro Photography, capturing {prompt} with extreme close-ups of animal fur, showcasing details like textures, colors, and patterns","lack of fur elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Paper Macro Photography,"Abstract Paper Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of paper, capturing abstract patterns and textures","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Chalk Macro Photography,"Chalk Macro Photography, showcasing {prompt} with extreme close-ups of chalk, capturing details like textures, colors, and chalk dust","lack of chalk elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Glass Macro Photography,"Abstract Glass Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of glass, capturing abstract patterns and reflections","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Oil and Water Macro Photography,"Oil and Water Macro Photography, showcasing {prompt} with extreme close-ups of oil and water interactions, creating abstract patterns and textures","lack of oil and water elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Abstract Fabric Macro Photography,"Abstract Fabric Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of fabric, capturing abstract patterns and textures","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Abstract Butterfly Wing Macro Photography,"Abstract Butterfly Wing Macro Photography, expressing {prompt} through creative compositions and extreme close-ups of butterfly wings, capturing abstract patterns and colors","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Classic Studio Portrait Photography,"Classic Studio Portrait Photography, capturing {prompt} in a controlled studio environment with traditional lighting and backdrops","lack of classic elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Natural Light Outdoor Portrait Photography,"Natural Light Outdoor Portrait Photography, showcasing {prompt} with natural sunlight and outdoor settings, emphasizing a candid and relaxed atmosphere","lack of natural light, unimpressive, poorly composed, uninspired, generic, unimaginative"
Black and White Fine Art Portrait Photography,"Black and White Fine Art Portrait Photography, capturing {prompt} with a focus on artistic and timeless black and white compositions","lack of fine art elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Candid Street Portrait Photography,"Candid Street Portrait Photography, capturing {prompt} in urban environments with a documentary and candid approach","lack of street elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Environmental Portrait Photography,"Environmental Portrait Photography, showcasing {prompt} in a context that reflects the subject's personality, profession, or interests","lack of environmental elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Dramatic Low-Key Portrait Photography,"Dramatic Low-Key Portrait Photography, capturing {prompt} with predominantly dark tones and shadows, creating a moody and intense atmosphere","overexposed, lack of contrast, uninteresting, uninspired, dull, flat, unimaginative"
Bright High-Key Portrait Photography,"Bright High-Key Portrait Photography, capturing {prompt} with predominantly bright tones and minimal shadows, creating a light and airy atmosphere","underexposed, lack of contrast, uninteresting, uninspired, dull, flat, unimaginative"
Conceptual Portrait Photography,"Conceptual Portrait Photography, expressing {prompt} through creative and thought-provoking concepts, often using symbolism and metaphors","lack of conceptual elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Double Exposure Portrait Photography,"Double Exposure Portrait Photography, combining {prompt} with another image or element to create a surreal and artistic effect","lack of double exposure elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
High-Fashion Editorial Portrait Photography,"High-Fashion Editorial Portrait Photography, presenting {prompt} in a narrative and artistic way, often for fashion magazines or campaigns","outdated, unfashionable, lack of style, unattractive, poorly composed, tacky, uninspiring"
Naturalistic Portrait Photography,"Naturalistic Portrait Photography, capturing {prompt} in a realistic and unposed manner, showcasing authentic expressions and moments","staged, artificial, posed, unauthentic, contrived, predictable, lack of authenticity"
Dramatic Sunset Portrait Photography,"Dramatic Sunset Portrait Photography, showcasing {prompt} with the warm and golden hues of a sunset, creating a romantic and atmospheric look","lack of sunset elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Double-Lighting Portrait Photography,"Double-Lighting Portrait Photography, capturing {prompt} with the use of two light sources to create dramatic and well-defined shadows","lack of double-lighting elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
Infrared Portrait Photography,"Infrared Portrait Photography, capturing {prompt} using infrared light, creating a unique and otherworldly perspective","unremarkable, lack of uniqueness, uninspired, uninteresting, generic, repetitive, unimaginative"
Classic Headshot Portrait Photography,"Classic Headshot Portrait Photography, capturing {prompt} with a focus on the subject's face, often used for professional profiles and resumes","lack of classic headshot elements, unimpressive, poorly composed, uninspired, generic, unimaginative"
